"ID","longitude","latitude","x_proj","y_proj","richness_true","residuals","local_error_variance","abs_residual"
463,143.5131728,-30.62811993,1090619.32973779,-3382896.12102862,17.96292478,-3.14775942725316,29.4615170635083,3.14775942725316
465,151.2086961,-26.52227702,1884183.8945302,-3015151.60920905,24.58928183,-0.440128703317324,86.37454311669,0.440128703317324
468,151.250519,-26.54340415,1887899.54325844,-3018111.82604761,30.22028769,-3.24806805479668,86.37454311669,3.24806805479668
475,146.8533761,-29.02203891,1426652.23160108,-3236682.28414493,28,7.09170622931534,67.787909874516,7.09170622931534
477,146.8039851,-29.18288739,1419843.73097049,-3254051.36262765,19,-2.86379809529426,55.7708079696121,2.86379809529426
479,143.5998963,-30.8605878,1096450.34439227,-3409577.50956848,8.98146239,-3.93599524381813,29.4387643603501,3.93599524381813
485,148.2690753,-28.19932647,1573645.91644587,-3161699.88090102,33.10095632,8.46950957465157,85.9072988235095,8.46950957465157
488,146.2289956,-29.33570898,1363024.62411436,-3264817.74760139,11,-3.3265436504694,33.0616192925375,3.3265436504694
493,146.2540752,-29.33013867,1365486.63735727,-3264464.73803396,10,-3.43434853328469,33.0616192925376,3.43434853328469
495,146.2268545,-29.34508264,1362703.54835884,-3265839.63388058,8,-5.2714663627233,33.0616192925375,5.2714663627233
497,143.3035171,-30.8628277,1068487.7929384,-3407316.22269745,30.21037349,10.6510008211291,28.4438013159065,10.6510008211291
499,143.4085687,-30.89520939,1078068.20889853,-3411812.00842816,17.1464282,-1.70806951418986,28.4438013159065,1.70806951418986
501,143.438824,-30.90656618,1080805.83238649,-3413334.77986641,12.24744871,-4.24585154593146,28.4438013159065,4.24585154593146
507,143.4153038,-30.80175811,1079637.16344436,-3401441.41487225,24.49489743,2.09812359480456,28.4438013159065,2.09812359480456
509,146.9074473,-29.17430632,1429833.87226379,-3254249.33836676,4,-7.85145748416125,57.7635030825196,7.85145748416125
510,146.9051941,-29.15881262,1429821.01979512,-3252498.21264518,6,-6.4104236654548,61.9587087689583,6.4104236654548
512,143.4020637,-30.84904078,1077916.13388308,-3406605.63208972,25.31139401,2.71438262884019,28.4438013159065,2.71438262884019
515,143.3368166,-30.86708589,1071584.96578062,-3408070.28717372,24.49489743,4.00393848068507,28.4438013159065,4.00393848068507
516,143.4009644,-30.87874614,1077515.9056816,-3409910.91412119,24.49489743,4.76385666915779,28.4438013159065,4.76385666915779
519,143.3552076,-30.82643364,1073723.00990723,-3403688.42912607,19.59591794,-1.52075375486928,28.4438013159065,1.52075375486928
530,147.0181776,-29.03988996,1442173.84975938,-3240521.19328941,23,-0.904731237050299,61.9274381857408,0.904731237050299
533,147.0016,-29.01043058,1440976.36172117,-3237052.66351887,32,6.64380178674867,62.9571970291182,6.64380178674867
536,147.0028437,-29.05834002,1440465.67753371,-3242403.3256218,16,-5.9349171474536,64.0424336092665,5.9349171474536
538,147.0347875,-29.04550983,1443687.49892093,-3241334.77478264,16,-8.21544583929274,62.3500629803563,8.21544583929274
540,147.0108875,-29.0617875,1441189.10077493,-3242878.05325027,37,13.4920425101729,61.9274381857408,13.4920425101729
545,146.9148398,-29.06806984,1431927.59341219,-3242497.8462678,7,-11.4135723728556,68.7188870349334,11.4135723728556
548,146.9097709,-29.06082779,1431537.73783747,-3241634.28981332,15,-5.16738905845222,68.7188870349334,5.16738905845222
550,146.9022508,-29.10463386,1430247.16485186,-3246429.96843774,27,5.99472114603398,73.106904447168,5.99472114603398
554,146.9422141,-29.00354031,1435388.32928386,-3235616.60291677,18,-2.09125294800237,65.7054955255273,2.09125294800237
556,146.947867,-29.09351255,1434750.8382491,-3245702.59201026,20,-1.78955395340407,59.1134645161406,1.78955395340407
557,146.8830369,-29.00056832,1429768.14934948,-3234621.94306415,22,4.76789435679999,69.5494129149016,4.76789435679999
565,146.8951935,-29.00010902,1430936.69546393,-3234706.88082099,36,17.9127626082849,69.5494129149016,17.9127626082849
566,146.9602055,-29.07514924,1436170.34934702,-3243795.68390824,18,-0.952717486712672,66.6273827557974,0.952717486712672
571,146.9399238,-29.02235835,1434923.0556805,-3237687.15234191,12,-7.532802304056,65.7054955255273,7.532802304056
576,146.943282,-29.04072752,1435003.68271908,-3239771.13187369,15,-3.59065441843683,65.7054955255273,3.59065441843683
580,146.8880594,-29.0747473,1429281.06838552,-3242941.82190145,42,21.9194895932862,66.6466535547046,21.9194895932862
582,146.8831905,-29.01918892,1429540.0778749,-3236698.05801026,24,6.88716937378616,69.5494129149016,6.88716937378616
585,146.9691031,-29.00682564,1437916.45883375,-3236284.95069067,21,-0.077321436461748,62.8693563659092,0.077321436461748
591,146.962284,-29.17391421,1435074.59684467,-3254820.51423028,7,-5.09819605675888,61.7406426821056,5.09819605675888
592,146.9626404,-29.13205763,1435657.18610238,-3250162.15348768,23,1.94610239246669,61.5571343470525,1.94610239246669
593,146.9653725,-29.13921579,1435824.29873381,-3250990.20243888,31,9.89332773014423,59.4987261328145,9.89332773014423
595,146.8456956,-29.19755713,1423635.41030055,-3256149.77068754,5,-8.52773669852314,54.5077321641694,8.52773669852314
596,146.8575878,-29.21129272,1424591.92147546,-3257812.45235356,6,-6.33097199858747,65.2282494015136,6.33097199858747
597,146.845269,-29.2001339,1423561.1793816,-3256432.0663814,5,-9.43859294621566,54.5077321641694,9.43859294621566
598,146.920147,-29.258459,1429946.67358688,-3263765.33745565,4,-6.31512601685967,64.3392603190248,6.31512601685967
605,147.1419214,-29.07782426,1453498.21690685,-3246148.72498342,21.8633068,1.03316151926515,29.0107639423147,1.03316151926515
611,147.1439813,-29.08143239,1453647.16407681,-3246574.01262791,21.02241038,-0.0467331851179438,29.0107639423147,0.0467331851179438
619,143.3468865,-30.76266878,1073571.91753537,-3396502.83034372,25.31139401,3.52740632835029,28.4438013159065,3.52740632835029
622,146.9810092,-29.08553354,1438022.07116909,-3245186.42197759,21,0.0445496136004238,56.3710727745114,0.0445496136004238
628,147.0042445,-29.15494311,1439329.9688519,-3253179.43075645,26,2.66337232495418,58.2152278665265,2.66337232495418
629,147.0515158,-29.10000252,1444567.9547583,-3247593.49690872,29,9.47114620171224,34.7054527808736,9.47114620171224
635,147.059764,-29.14648185,1444742.81591066,-3252863.67195758,17.65882472,0.0290766067845354,33.1710190086711,0.0290766067845354
644,146.1731878,-29.36799106,1357299.85591979,-3267821.60042922,13,-2.56175357183436,29.375504773633,2.56175357183436
645,146.337623,-29.33666256,1373374.73256243,-3266087.36704148,30,3.03775980805307,36.9879134648056,3.03775980805307
648,146.2964745,-29.33062167,1369525.33809769,-3264972.41291904,18,-4.34743262040205,36.9879134648055,4.34743262040205
650,146.3228516,-29.33059569,1372041.86294387,-3265252.53644309,21,-4.31187146299016,36.9879134648056,4.31187146299016
654,146.2802643,-29.35097709,1367724.32638261,-3267067.31745105,29,7.32700565902945,36.0231907611344,7.32700565902945
657,146.3010119,-29.34940877,1369722.82069023,-3267114.81453983,24,1.62177670987148,36.9879134648055,1.62177670987148
658,146.2874439,-29.29476193,1369112.68716463,-3260879.10166535,27,3.57345139742659,36.9879134648056,3.57345139742659
661,146.3119805,-29.29759817,1371418.54329867,-3261458.36831107,35,11.3917016017958,37.916930734226,11.3917016017958
662,146.7448255,-29.35259946,1412003.16098976,-3272302.08864825,5,-6.13523456948547,65.2505884767477,6.13523456948547
670,143.3755501,-30.92733473,1074636.32041645,-3415118.26292393,9.797958971,-2.97398558266567,28.4438013159065,2.97398558266567
679,147.2291913,-29.04882112,1462222.65829128,-3243914.51131038,16.81792831,-0.0220483840492207,30.1589080312081,0.0220483840492207
681,147.3030075,-29.000838,1469919.35878399,-3239418.04560002,23.54509963,8.49467418343513,32.2611087394641,8.49467418343513
685,147.2271489,-29.05424008,1461955.21585803,-3244494.62497449,15.97703189,1.19939675419798,30.1589080312081,1.19939675419798
687,147.2291614,-29.0352824,1462400.38979588,-3242406.41253079,20.18151397,6.09316772553818,30.1589080312081,6.09316772553818
692,147.2281761,-29.05423834,1462053.39281248,-3244506.1862115,6.727171322,-7.88344423508199,30.1589080312081,7.88344423508199
695,147.1809695,-29.08048509,1457193.4934039,-3246889.88761706,10.9316534,-4.26363199274172,33.2626940195689,4.26363199274172
698,146.930154,-29.24034382,1431138.2661934,-3261859.5704398,19.34061755,6.94516274913294,67.4291982690485,6.94516274913294
699,146.9664346,-29.17509204,1435455.42985636,-3254998.33990419,7,-4.89666837456668,61.7406426821056,4.89666837456668
702,142.7053514,-30.96726174,1011101.92462557,-3414103.28501378,44,10.2550644360528,44.5474666681235,10.2550644360528
704,143.4195924,-30.78401803,1080219.10864957,-3399498.09865057,22.04540769,1.44683221619215,28.4438013159065,1.44683221619215
709,143.4342031,-30.76431587,1081794.79189135,-3397423.19212326,30.21037349,7.18219537638199,28.4438013159065,7.18219537638199
717,150.0816103,-27.65899361,1756403.41215581,-3125250.21889252,19.08649749,-6.13169740474907,56.5471470497657,6.13169740474907
722,147.1847632,-29.15662122,1456543.34809911,-3255412.26339689,33,6.49556233056733,31.2113010323263,6.49556233056733
725,148.6951032,-28.3570174,1612316.95828334,-3184555.37875785,35.93818114,9.75531589301373,68.2886550941082,9.75531589301373
726,146.6739837,-29.38663673,1404811.62127204,-3275313.00739922,21,8.44896893575886,48.4989635917911,8.44896893575886
728,147.3381646,-29.07747356,1472250.6263183,-3248356.76367273,19.34061755,5.40427070955378,32.2995332287352,5.40427070955378
731,147.3668329,-29.03387114,1475575.94189394,-3243832.25894222,7,-8.47894320419879,43.1215338991569,8.47894320419879
